syllabified	notSyllabified
judg;ing	judging
judg;men;tal	judgmental
judg;ment	judgment
judge	judge
judge;ment	judgement
jug	jug
jug;ger;naut	juggernaut
jug;gle	juggle
juic;er	juicer
juic;y	juicy
juice	juice
juke;box	jukebox
jum;ble	jumble
jum;bo	jumbo
jump	jump
jump;er	jumper
jun;gle	jungle
jun;ior	junior
jun;ta	junta
junc;tion	junction
junc;ture	juncture
junk	junk
junk;ie	junkie
junk;y	junky
junk;yard	junkyard
jus	jus
jus;ti;fi;a;ble	justifiable
jus;ti;fi;a;bly	justifiably
jus;ti;fi;ca;tion	justification
jus;ti;fied	justified
jus;ti;fy	justify
jus;ti;fy;ing	justifying
jus;tice	justice
just	just
just;ly	justly
jute	jute
jux;ta;po;si;tion	juxtaposition
ka;bu;ki	kabuki
ka;hu;na	kahuna
ka;lei;do;scope	kaleidoscope
ka;mi	kami
ka;mi;ka;ze	kamikaze
ka;na	kana
ka;ra;te	karate
ka;roo	karoo
ka;ta;na	katana
ka;va	kava
kai;ser	kaiser
kain	kain
kal;i	kali
kale	kale
kan;ga;roo	kangaroo
kan;ji	kanji
kane	kane
kang	kang
kap;pa	kappa
kar;at	karat
kar;ma	karma
kar;mic	karmic
karst	karst
kart	kart
kas	kas
kash;mir	kashmir
kat	kat
kay;ak	kayak
kcal	kcal
ke;a	kea
ke;bab	kebab
ke;no	keno
ke;to	keto
ke;tone	ketone
keck	keck
keel	keel
keen	keen
keen;er	keener
keen;ly	keenly
keep	keep
keep;er	keeper
keep;ing	keeping
keep;sake	keepsake
kef	kef
keg	keg
kel;ly	kelly
kel;vin	kelvin
kelp	kelp
kemp	kemp
ken	ken
ken;do	kendo
ken;nel	kennel
kent	kent
kept	kept
ker;a;tin	keratin
ker;nel	kernel
ker;o;sene	kerosene
ker;ry	kerry
kerb	kerb
kern	kern
kes;trel	kestrel
ket;tle	kettle
ketch;up	ketchup
key	key
key;board	keyboard
key;hole	keyhole
key;ing	keying
key;less	keyless
key;note	keynote
key;stone	keystone
key;stroke	keystroke
key;word	keyword
keyed	keyed
khak;i	khaki
khan	khan
ki;ley	kiley
ki;mo;no	kimono
ki;nase	kinase
ki;ne;si;ol;o;gy	kinesiology
ki;net;ic	kinetic
ki;net;ics	kinetics
ki;no	kino
ki;osk	kiosk
ki;wi	kiwi
kick	kick
kick;back	kickback
kick;er	kicker
kick;off	kickoff
kid	kid
kid;der	kidder
kid;die	kiddie
kid;ding	kidding
kid;dy	kiddy
kid;nap	kidnap
kid;nap;ping	kidnapping
kid;ney	kidney
kil;o	kilo
kil;o;gram	kilogram
kil;o;me;ter	kilometer
kil;o;me;tre	kilometre
kil;o;watt	kilowatt
kil;os	kilos
kill	kill
kill;er	killer
kill;ing	killing
kiln	kiln
kilt	kilt
kin	kin
kin;der;gar;ten	kindergarten
kin;dling	kindling
kin;dred	kindred
kin;e;mat;ic	kinematic
kin;e;mat;ics	kinematics
kin;ship	kinship
kind	kind
kind;ly	kindly
kind;ness	kindness
kine	kine
king	king
king;dom	kingdom
king;fish;er	kingfisher
king;pin	kingpin
king;wood	kingwood
kink	kink
kink;y	kinky
kins;man	kinsman
kip	kip
kir;by	kirby
kirk	kirk
kis;met	kismet
kish	kish
kiss	kiss
kit	kit
kit;ten	kitten
kit;ty	kitty
kitch;en	kitchen
kitch;en;er	kitchener
kitch;en;ette	kitchenette
kitch;en;ware	kitchenware
kite	kite
kitsch	kitsch
knack	knack
knee	knee
kneel	kneel
kneel;ing	kneeling
knelt	knelt
knew	knew
knick;ers	knickers
knife	knife
knight	knight
knit	knit
knit;ted	knitted
knit;ter	knitter
knit;ting	knitting
knit;wear	knitwear
knives	knives
knob	knob
knock	knock
knock;out	knockout
knoll	knoll
knot	knot
knot;ted	knotted
knot;ting	knotting
know	know
know;ing	knowing
know;ing;ly	knowingly
knowl;edg;a;ble	knowledgable
knowl;edge	knowledge
knowl;edge;a;ble	knowledgeable
known	known
knuck;le	knuckle
ko;a	koa
ko;a;la	koala
ko;ko	koko
ko;la	kola
ko;na	kona
ko;re	kore
ko;ru;na	koruna
ko;sher	kosher
kohl	kohl
kon;do	kondo
kor	kor
kos	kos
kraft	kraft
krem;lin	kremlin
kris	kris
kro;na	krona
kro;ne	krone
kroon	kroon
kryp;ton	krypton
ku;dos	kudos
ku;la	kula
kud;zu	kudzu
kun;da;li;ni	kundalini
kwa;cha	kwacha
kwan;za	kwanza
kwh	kwh
ky;lie	kylie
ky;lix	kylix
kyat	kyat
kyle	kyle
kyu	kyu
la;bel	label
la;bel;ing	labeling
la;bel;ling	labelling
la;beled	labeled
la;belled	labelled
la;bi;a	labia
la;bo;ri;ous	laborious
la;bor	labor
la;bor;er	laborer
la;bored	labored
la;bour	labour
la;bour;er	labourer
la;crosse	lacrosse
la;cu;na	lacuna
la;dies	ladies
la;dle	ladle
la;dy	lady
la;dy;bird	ladybird
la;dy;bug	ladybug
la;ger	lager
la;goon	lagoon
la;i;ty	laity
la;ma	lama
la;ment	lament
la;ment;ed	lamented
la;na;i	lanai
la;pel	lapel
la;sa;gna	lasagna
la;ser	laser
la;ta	lata
la;ten;cy	latency
la;tent	latent
la;tex	latex
la;ti;no	latino
la;va	lava
la;zi;ly	lazily
la;zi;ness	laziness
la;zy	lazy
lab	lab
lab;o;ra;to;ry	laboratory
lab;y;rinth	labyrinth
lac	lac
lac;ing	lacing
lac;quer	lacquer
lac;ta;tion	lactation
lac;tat;ing	lactating
lac;tate	lactate
lac;tic	lactic
lac;to;ba;cil;lus	lactobacillus
lac;tose	lactose
lac;y	lacy
lace	lace
lack	lack
lack;ey	lackey
lack;ing	lacking
lack;lus;ter	lackluster
lad	lad
lad;der	ladder
lad;en	laden
lad;ing	lading
lag	lag
lag;ging	lagging
lah	lah
lai	lai
laid	laid
lain	lain
lair	lair
laird	laird
lake	lake
lake;front	lakefront
lake;shore	lakeshore
lakh	lakh
lam	lam
lam;bert	lambert
lam;i;na	lamina
lam;i;na;tion	lamination
lam;i;na;tor	laminator
lam;i;nar	laminar
lam;i;nat;ed	laminated
lam;i;nat;ing	laminating
lam;i;nate	laminate
lam;poon	lampoon
lamb	lamb
lamb;da	lambda
lame	lame
lamp	lamp
lan;cet	lancet
lan;dau	landau
lan;guage	language
lan;ta;na	lantana
lan;tern	lantern
lan;yard	lanyard
lanc;er	lancer
lance	lance
land	land
land;ed	landed
land;fall	landfall
land;ing	landing
land;locked	landlocked
land;lord	landlord
land;mark	landmark
land;own;er	landowner
land;scap;ing	landscaping
land;scape	landscape
land;scaped	landscaped
land;slide	landslide
lands	lands
lane	lane
lang	lang
langue	langue
lap	lap
lap;is	lapis
lap;ping	lapping
lapse	lapse
lar	lar
lar;ce;ny	larceny
lar;der	larder
lar;go	largo
lar;i;at	lariat
lar;ry	larry
lar;va	larva
lar;val	larval
lar;yn;ge;al	laryngeal
lar;ynx	larynx
larch	larch
lard	lard
larg;er	larger
larg;est	largest
large	large
large;ly	largely
lark	lark
lark;spur	larkspur
las;sie	lassie
las;so	lasso
lash	lash
lash;ing	lashing
lashed	lashed
lass	lass
last	last
last;ing	lasting
last;ly	lastly
lat	lat
lat;ed	lated
lat;er	later
lat;er;al	lateral
lat;er;al;ly	laterally
lat;est	latest
lat;i;tude	latitude
lat;ter	latter
lat;tice	lattice
latch	latch
latch;ing	latching
late	late
late;ly	lately
lath;er	lather
lathe	lathe
lau;ra	laura
lau;re;ate	laureate
lau;rel	laurel
lau;rence	laurence
laud;a;ble	laudable
laud;er	lauder
laugh	laugh
laugh;a;ble	laughable
laugh;ing	laughing
laugh;ter	laughter
laun;dry	laundry
launch	launch
launch;er	launcher
lav	lav
lav;a;to;ry	lavatory
lav;en;der	lavender
lav;ish	lavish
lav;ish;ly	lavishly
law	law
law;ful	lawful
law;ful;ly	lawfully
law;less	lawless
law;less;ness	lawlessness
law;mak;er	lawmaker
law;suit	lawsuit
law;yer	lawyer
lawn	lawn
lax	lax
lax;a;tive	laxative
lay	lay
lay;er	layer
lay;er;ing	layering
lay;ette	layette
lay;ing	laying
lay;man	layman
lay;off	layoff
lay;out	layout
lay;up	layup
laz;ar	lazar
laz;u;li	lazuli
lbw	lbw
lcd	lcd
lcl	lcl
lcm	lcm
le;ga;to	legato
le;gal	legal
le;gal;i;ty	legality
le;gal;i;za;tion	legalization
le;gal;ize	legalize
le;gal;ized	legalized
le;gal;ly	legally
le;gion	legion
le;git	legit
le;git;i;ma;cy	legitimacy
le;git;i;mate	legitimate
le;git;i;mate;ly	legitimately
le;is	leis
le;mur	lemur
le;ni;ent	lenient
le;no	leno
le;o;ne	leone
le;o;tard	leotard
le;sion	lesion
le;thal	lethal
le;thal;i;ty	lethality
le;u	leu
le;vant	levant
le;vi;a;than	leviathan
lea	lea
leach	leach
lead	lead
lead;er	leader
lead;er;ship	leadership
lead;ing	leading
leaf	leaf
leaf;let	leaflet
leaf;y	leafy
league	league
leak	leak
leak;age	leakage
leak;y	leaky
leal	leal
lean	lean
lean;er	leaner
lean;ing	leaning
leap	leap
leap;frog	leapfrog
leap;ing	leaping
leapt	leapt
lear	lear
lear;y	leary
learn	learn
learn;ed	learned
learn;er	learner
learn;ing	learning
learnt	learnt
leas;ing	leasing
lease	lease
lease;hold	leasehold
leash	leash
least	least
leath;er	leather
leath;er;head	leatherhead
leav;ing	leaving
leave	leave
leaved	leaved
leaves	leaves
leb;en	leben
lec;i;thin	lecithin
lec;tion;ar;y	lectionary
lec;tur;er	lecturer
lec;tur;ing	lecturing
lec;ture	lecture
lec;tured	lectured
lech	lech
lect	lect
led	led
ledg;er	ledger
ledge	ledge
lee	lee
lee;ward	leeward
lee;way	leeway
leech	leech
leek	leek
leer	leer
lees	lees
left	left
left;ies	lefties
left;ist	leftist
left;o;ver	leftover
left;y	lefty
leg	leg
leg;a;cy	legacy
leg;end	legend
leg;end;ar;y	legendary
leg;er	leger
leg;ged	legged
leg;gings	leggings
leg;i;ble	legible
leg;is;la;tion	legislation
leg;is;la;tive	legislative
leg;is;la;tor	legislator
leg;is;la;ture	legislature
leg;is;lat;ed	legislated
leg;is;late	legislate
leg;ume	legume
lei	lei
lei;sure	leisure
lei;sure;ly	leisurely
leish;ma;ni;a	leishmania
lek	lek
lem;ma	lemma
lem;mas	lemmas
lem;on	lemon
lem;on;ade	lemonade
lem;on;y	lemony
lem;pi;ra	lempira
len;til	lentil
lend	lend
lend;er	lender
lend;ing	lending
length	length
length;en	lengthen
length;wise	lengthwise
length;y	lengthy
lens	lens
lens;es	lenses
lent	lent
leop;ard	leopard
lep;i;dop;ter;a	lepidoptera
lep;re;chaun	leprechaun
lep;ro;sy	leprosy
lep;ton	lepton
les;bi;an	lesbian
les;bi;an;ism	lesbianism
les;see	lessee
les;son	lesson
les;sor	lessor
les;te	leste
less	less
less;en	lessen
less;er	lesser
lest	lest
let	let
let;ter	letter
let;ter;head	letterhead
let;ter;ing	lettering
let;ter;man	letterman
let;tered	lettered
let;ters	letters
let;ting	letting
let;tuce	lettuce
leth;ar;gy	lethargy
leu;cine	leucine
leu;kae;mi;a	leukaemia
leu;ke;mi;a	leukemia
leu;ko;cyte	leukocyte
lev	lev
lev;ee	levee
lev;el	level
lev;el;ing	leveling
lev;el;ling	levelling
lev;eled	leveled
lev;elled	levelled
lev;er	lever
lev;er;age	leverage
lev;ied	levied
lev;ies	levies
lev;in	levin
lev;y	levy
lew;is	lewis
lewd	lewd
lex	lex
lex;i;cal	lexical
lex;i;con	lexicon
lex;is	lexis
ley	ley
lge	lge
li;a;bil;i;ties	liabilities
li;a;bil;i;ty	liability
li;a;ble	liable
li;ai;son	liaison
li;aise	liaise
li;ar	liar
li;bel	libel
li;bel;lous	libellous
li;bel;ous	libelous
li;ber	liber
li;bi;do	libido
li;bra	libra
li;brar;i;an	librarian
li;brar;i;an;ship	librarianship
li;brar;ies	libraries
li;brar;y	library
li;bret;to	libretto
li;bri	libri
li;cen;see	licensee
li;cen;sor	licensor
li;cence	licence
li;cenced	licenced
li;cens;ing	licensing
li;cense	license
li;censed	licensed
li;chen	lichen
li;do	lido
li;do;caine	lidocaine
li;ga;tion	ligation
li;la	lila
li;lac	lilac
li;mes	limes
li;no	lino
li;no;le;um	linoleum
li;on	lion
li;on;heart	lionheart
li;pase	lipase
li;pid	lipid
li;queur	liqueur
li;quid;i;ty	liquidity
li;ra	lira
li;re	lire
li;tas	litas
li;ter	liter
li;thog;ra;phy	lithography
li;tre	litre
li;tur;gi;cal	liturgical
li;vre	livre
li;za	liza
liang	liang
lib	lib
lib;er;a;tion	liberation
lib;er;a;tor	liberator
lib;er;al	liberal
lib;er;al;i;za;tion	liberalization
lib;er;al;ism	liberalism
lib;er;al;ly	liberally
lib;er;at;ed	liberated
lib;er;at;ing	liberating
lib;er;ate	liberate
lib;er;tar;i;an	libertarian
lib;er;tar;i;an;ism	libertarianism
lib;er;ty	liberty
lic;o;rice	licorice
lice	lice
licht	licht
lick	lick
lick;ing	licking
lid	lid
lie	lie
lied	lied
lied;er	lieder
liege	liege
lien	lien
lieu	lieu
lieu;ten;ant	lieutenant
life	life
life;boat	lifeboat
life;guard	lifeguard
life;less	lifeless
life;like	lifelike
life;line	lifeline
life;long	lifelong
life;sav;ing	lifesaving
life;time	lifetime
lift	lift
lift;er	lifter
lig;a;ment	ligament
lig;and	ligand
lig;nin	lignin
light	light
light;ed	lighted
light;en	lighten
light;en;ing	lightening
light;er	lighter
light;hous;es	lighthouses
light;house	lighthouse
light;ing	lighting
light;ly	lightly
light;ness	lightness
light;ning	lightning
light;weight	lightweight
lights	lights
ligne	ligne
lik;a;ble	likable
lik;ing	liking
like	like
like;a;ble	likeable
like;li;hood	likelihood
like;ly	likely
like;ness	likeness
like;wise	likewise
lil;ies	lilies
lil;y	lily
lim;bo	limbo
lim;er;ick	limerick
lim;i;ta;tion	limitation
lim;it	limit
lim;it;ed	limited
lim;it;er	limiter
lim;it;ing	limiting
lim;it;less	limitless
lim;ou;sine	limousine
limb	limb
lime	lime
lime;light	limelight
lime;stone	limestone
limp	limp
lin	lin
lin;ac	linac
lin;den	linden
lin;dy	lindy
lin;e;ar	linear
lin;e;ar;i;ty	linearity
lin;e;ar;ized	linearized
lin;e;ar;ly	linearly
lin;en	linen
lin;er	liner
lin;ge;rie	lingerie
lin;ger	linger
lin;go	lingo
lin;gua	lingua
lin;gual	lingual
lin;guis;ti;cal;ly	linguistically
lin;guis;tic	linguistic
lin;guis;tics	linguistics
lin;guist	linguist
lin;ing	lining
lin;o;le;ic	linoleic
lin;sey	linsey
line	line
line;age	lineage
line;back;er	linebacker
line;man	lineman
line;up	lineup
lines	lines
ling	ling
link	link
link;age	linkage
linked	linked
links	links
linn	linn
lint	lint
lip	lip
lip;o;pro;tein	lipoprotein
lip;per	lipper
lip;stick	lipstick
lipped	lipped
liq;ue;fied	liquefied
liq;ui;da;tion	liquidation
liq;ui;da;tor	liquidator
liq;ui;dat;ed	liquidated
liq;ui;date	liquidate
liq;uid	liquid
liq;uor	liquor
lis;te;ri;a	listeria
lis;ten	listen
lis;ten;er	listener
lisle	lisle
lisp	lisp
list	list
list;ed	listed
list;er	lister
list;ing	listing
lists	lists
lit	lit
lit;a;ny	litany
lit;er;a;cy	literacy
lit;er;a;ture	literature
lit;er;al	literal
lit;er;al;ly	literally
lit;er;ar;y	literary
lit;er;ate	literate
lit;i;ga;tion	litigation
lit;mus	litmus
lit;ter	litter
lit;tle	little
lit;tlest	littlest
lit;to;ral	littoral
lit;ur;gy	liturgy
lith	lith
lith;i;um	lithium
lith;o;graph	lithograph
litho	litho
liv;a;ble	livable
liv;er	liver
liv;er;y	livery
liv;id	livid
liv;ing	living
live	live
live;li;hood	livelihood
live;ly	lively
live;stock	livestock
lived	lived
lives	lives
liz;ard	lizard
liz;zie	lizzie
lla;ma	llama
lla;no	llano
lo;bo	lobo
lo;ca	loca
lo;ca;tion	location
lo;ca;tor	locator
lo;cal	local
lo;cal;i;sa;tion	localisation
lo;cal;i;ty	locality
lo;cal;i;za;tion	localization
lo;cal;ised	localised
lo;cal;ize	localize
lo;cal;ized	localized
lo;cal;ly	locally
lo;cale	locale
lo;cat;ed	located
lo;cat;ing	locating
lo;cate	locate
lo;ci	loci
lo;co	loco
lo;co;mo;tion	locomotion
lo;co;mo;tive	locomotive
lo;cum	locum
lo;cus	locus
lo;cust	locust
lo;gan	logan
lo;gis;ti;cal	logistical
lo;gis;tic	logistic
lo;gis;tics	logistics
lo;ma	loma
lo;ris	loris
lo;tion	lotion
lo;tus	lotus
load	load
load;ed	loaded
load;er	loader
load;ing	loading
loads	loads
loaf	loaf
loaf;er	loafer
loam	loam
loan	loan
loath;ing	loathing
loathe	loathe
loaves	loaves
lob	lob
lob;bied	lobbied
lob;by	lobby
lob;by;ing	lobbying
lob;by;ist	lobbyist
lob;ster	lobster
lobe	lobe
loch	loch
lock	lock
lock;a;ble	lockable
lock;er	locker
lock;et	locket
lock;out	lockout
lock;smith	locksmith
lock;up	lockup
lode	lode
lodg;er	lodger
lodg;ing	lodging
lodg;ings	lodgings
lodge	lodge
lodged	lodged
loe	loe
loft	loft
loft;y	lofty
log	log
log;a;rith;mic	logarithmic
log;a;rithm	logarithm
log;book	logbook
log;ger	logger
log;ging	logging
log;i;cal	logical
log;i;cal;ly	logically
log;ic	logic
log;o	logo
log;o;type	logotype
log;os	logos
loge	loge
loin	loin
loins	loins
lol;li;pop	lollipop
lol;ly	lolly
lon;er	loner
lon;gev;i;ty	longevity
lon;gi;tu;di;nal	longitudinal
lon;gi;tude	longitude
lone	lone
lone;li;ness	loneliness
lone;ly	lonely
lone;some	lonesome
long	long
long;er	longer
long;horn	longhorn
long;ing	longing
long;stand;ing	longstanding
long;time	longtime
longs	longs
loo	loo
look	look
look;out	lookout
loom	loom
loom;ing	looming
loon	loon
loon;ey	looney
loon;y	loony
loop	loop
loop;er	looper
loop;hole	loophole
loop;y	loopy
looped	looped
loos;en	loosen
loos;er	looser
loos;ing	loosing
loose	loose
loose;ly	loosely
loot	loot
lop	lop
lor	lor
lor;ry	lorry
lord	lord
lord;ship	lordship
lore	lore
los;er	loser
los;ing	losing
los;sy	lossy
lose	lose
loss	loss
lost	lost
lot	lot
lot;ter;ies	lotteries
lot;ter;y	lottery
lot;to	lotto
lots	lots
lou;ie	louie
lou;is	louis
lou;vre	louvre
loud	loud
loud;ly	loudly
loud;ness	loudness
loud;speak;er	loudspeaker
lough	lough
loung;ing	lounging
lounge	lounge
loup	loup
lous;y	lousy
lov;a;ble	lovable
lov;er	lover
lov;ing	loving
lov;ing;ly	lovingly
love	love
love;a;ble	loveable
love;less	loveless
love;ly	lovely
love;mak;ing	lovemaking
low	low
low;ball	lowball
low;down	lowdown
low;er	lower
low;er;ing	lowering
low;er;y	lowery
low;ing	lowing
low;land	lowland
low;ly	lowly
lowe	lowe
lox	lox
loy;al	loyal
loy;al;ist	loyalist
loy;al;ty	loyalty
lsd	lsd
ltd	ltd
lu;au	luau
lu;bri;ca;tion	lubrication
lu;bri;cat;ed	lubricated
lu;bri;cat;ing	lubricating
lu;cent	lucent
lu;cerne	lucerne
lu;ci;da	lucida
lu;ci;fer	lucifer
lu;cid	lucid
lu;cif;er;ase	luciferase
lu;di;crous	ludicrous
lu;lu	lulu
lu;men	lumen
lu;mens	lumens
lu;mi;na	lumina
lu;mi;nance	luminance
lu;mi;nar;ies	luminaries
lu;mi;nes;cence	luminescence
lu;mi;nes;cent	luminescent
lu;mi;nos;i;ty	luminosity
lu;mi;nous	luminous
lu;na;cy	lunacy
lu;na;tic	lunatic
lu;nar	lunar
lu;pin	lupin
lu;pine	lupine
lu;pus	lupus
lu;te;in	lutein
lub;ri;cant	lubricant
lube	lube
luc;ra;tive	lucrative
luce	luce
luck	luck
luck;i;ly	luckily
luck;y	lucky
lug	lug
lug;gage	luggage
luge	luge
luke;warm	lukewarm
lull	lull
lull;a;by	lullaby
lum;bar	lumbar
lum;ber	lumber
lum;ber;jack	lumberjack
lump	lump
lump;y	lumpy
lunch	lunch
lunch;eon	luncheon
lunch;time	lunchtime
lune	lune
lung	lung
lure	lure
lurk	lurk
lurk;er	lurker
lus;cious	luscious
lus;ter	luster
lus;tre	lustre
lus;trous	lustrous
lush	lush
lust	lust
lust;y	lusty
lute	lute
lux	lux
lux;u;ri;ous	luxurious
lux;u;ri;ous;ly	luxuriously
lux;u;ry	luxury
luxe	luxe
ly;ce;um	lyceum
ly;ing	lying
ly;sine	lysine
ly;sis	lysis
lye	lye
lym;phat;ic	lymphatic
lym;pho;cyt;ic	lymphocytic
lym;pho;cyte	lymphocyte
lym;pho;ma	lymphoma
lym;phoid	lymphoid
lymph	lymph
lynch	lynch
lynx	lynx
lyr;i;cal	lyrical
lyr;i;cist	lyricist
lyr;ic	lyric
lyre	lyre
m;l	ml
m;ro	mro
ma;ca;bre	macabre
ma;caw	macaw
ma;chet;e	machete
ma;chin;er;y	machinery
ma;chin;ing	machining
ma;chin;ist	machinist
ma;chine	machine
ma;chined	machined
ma;dre	madre
ma;du;ro	maduro
ma;gen;ta	magenta
ma;gi	magi
ma;gi;cian	magician
ma;gus	magus
ma;ha;ra;ja	maharaja
ma;ha;ri;shi	maharishi
ma;hat;ma	mahatma
ma;hog;a;ny	mahogany
ma;jes;tic	majestic
ma;jor	major
ma;jor;i;ty	majority
ma;ko	mako
ma;lac;ca	malacca
ma;laise	malaise
ma;lar;i;a	malaria
ma;lev;o;lent	malevolent
ma;li	mali
ma;li;cious	malicious
ma;lig;nan;cy	malignancy
ma;lig;nant	malignant
ma;ma	mama
ma;na	mana
ma;net	manet
ma;neu;ver	maneuver
ma;ni;a	mania
ma;ni;ac	maniac
ma;nip;u;la;tive	manipulative
ma;nip;u;la;tor	manipulator
ma;nip;u;lat;ed	manipulated
ma;nip;u;lat;ing	manipulating
ma;nip;u;late	manipulate
ma;noeu;vre	manoeuvre
ma;nu;ka	manuka
ma;nure	manure
ma;ple	maple
ma;ra	mara
ma;raud;er	marauder
ma;ri;a	maria
ma;ri;jua;na	marijuana
ma;ri;na	marina
ma;rim;ba	marimba
ma;rine	marine
ma;roon	maroon
ma;son	mason
ma;son;ic	masonic
ma;son;ry	masonry
ma;te;ri;al	material
ma;te;ri;al;i;ty	materiality
ma;te;ri;al;ism	materialism
ma;te;ri;al;ize	materialize
ma;te;ri;al;ized	materialized
ma;te;ri;al;ly	materially
ma;te;ri;als	materials
ma;te;ri;el	materiel
ma;ter	mater
ma;ter;nal	maternal
ma;ter;ni;ty	maternity
ma;til;da	matilda
ma;tri;ces	matrices
ma;tric;u;la;tion	matriculation
ma;trix	matrix
ma;tron	matron
ma;tur;i;ty	maturity
ma;ture	mature
ma;ven	maven
ma;vis	mavis
ma;ya	maya
ma;yan	mayan
maar	maar
mac	mac
mac;a;da;mi;a	macadamia
mac;a;ro;ni	macaroni
mac;far;lane	macfarlane
mac;in;tosh	macintosh
mac;ro	macro
mac;ro;e;co;nom;ics	macroeconomics
mac;ro;mo;lec;u;lar	macromolecular
mac;ro;phage	macrophage
mac;ro;scop;ic	macroscopic
mac;u;lar	macular
mace	mace
mach	mach
mack	mack
mack;i;naw	mackinaw
mack;in;tosh	mackintosh
macke;rel	mackerel
mad	mad
mad;am	madam
mad;ame	madame
mad;den	madden
mad;e;leine	madeleine
mad;e;moi;selle	mademoiselle
mad;ly	madly
mad;man	madman
mad;ness	madness
mad;ras	madras
made	made
mael;strom	maelstrom
maes;tro	maestro
mag	mag
mag;a;zine	magazine
mag;da;len	magdalen
mag;da;lene	magdalene
mag;gie	maggie
mag;got	maggot
mag;i;cal	magical
mag;i;cal;ly	magically
mag;ic	magic
mag;is;trate	magistrate
mag;ma	magma
mag;ne;si;um	magnesium
mag;ne;to	magneto
mag;ne;tom;e;ter	magnetometer
mag;net	magnet
mag;net;i;cal;ly	magnetically
mag;net;i;za;tion	magnetization
mag;net;ic	magnetic
mag;net;ics	magnetics
mag;net;ism	magnetism
mag;ni;fi;ca;tion	magnification
mag;ni;fi;er	magnifier
mag;ni;fied	magnified
mag;ni;fy	magnify
mag;ni;fy;ing	magnifying
mag;ni;tude	magnitude
mag;nif;i;cence	magnificence
mag;nif;i;cent	magnificent
mag;no;lia	magnolia
mag;num	magnum
mag;pie	magpie
mage	mage
mah;jong	mahjong
maid	maid
maid;en	maiden
maid;en;head	maidenhead
mail	mail
mail;bag	mailbag
mail;box	mailbox
mail;er	mailer
mail;man	mailman
mailed	mailed
main	main
main;land	mainland
main;line	mainline
main;ly	mainly
main;stay	mainstay
main;stream	mainstream
main;tain	maintain
main;tain;er	maintainer
main;te;nance	maintenance
mains	mains
mair	mair
maize	maize
maj;es;ty	majesty
mak;er	maker
mak;ing	making
make	make
make;shift	makeshift
make;up	makeup
mal;a;chite	malachite
mal;func;tion	malfunction
mal;ice	malice
mal;kin	malkin
mal;lard	mallard
mal;le;a;ble	malleable
mal;let	mallet
mal;low	mallow
mal;nour;ished	malnourished
mal;nu;tri;tion	malnutrition
mal;prac;tice	malpractice
male	male
mall	mall
malt	malt
mam	mam
mam;bo	mambo
mam;ma	mamma
mam;ma;li;an	mammalian
mam;ma;ry	mammary
mam;mal	mammal
mam;moth	mammoth
man	man
man;a;ge;ri;al	managerial
man;a;tee	manatee
man;ag;er	manager
man;ag;ing	managing
man;age	manage
man;age;a;ble	manageable
man;age;ment	management
man;aged	managed
man;da;la	mandala
man;da;rin	mandarin
man;da;to;ry	mandatory
man;dat;ed	mandated
man;dat;ing	mandating
man;date	mandate
man;di	mandi
man;di;ble	mandible
man;dib;u;lar	mandibular
man;dir	mandir
man;do;lin	mandolin
man;drake	mandrake
man;ga;nese	manganese
man;ger	manger
man;go	mango
man;go;steen	mangosteen
man;grove	mangrove
man;hole	manhole
man;hood	manhood
man;hunt	manhunt
man;i;cure	manicure
man;i;fes;ta;tion	manifestation
man;i;fes;to	manifesto
man;i;fest	manifest
man;i;fold	manifold
man;i;tou	manitou
man;ic	manic
man;kind	mankind
man;ly	manly
man;na	manna
man;ne;quin	mannequin
man;ner	manner
man;nered	mannered
man;ners	manners
man;nose	mannose
man;or	manor
man;pow;er	manpower
man;sion	mansion
man;slaugh;ter	manslaughter
man;ta	manta
man;tel	mantel
man;tis	mantis
man;tle	mantle
man;tra	mantra
man;tu;a	mantua
man;u;al	manual
man;u;al;ly	manually
man;u;fac;tur;er	manufacturer
man;u;fac;tur;ing	manufacturing
man;u;fac;ture	manufacture
man;u;fac;tured	manufactured
man;u;script	manuscript
man;y	many
mane	mane
mange	mange
manned	manned
manuf	manuf
map	map
map;ping	mapping
mar	mar
mar;a;nath;a	maranatha
mar;a;thon	marathon
mar;ble	marble
mar;bles	marbles
mar;ca;site	marcasite
mar;cel	marcel
mar;cel;la	marcella
mar;ga;ri;ta	margarita
mar;ga;rine	margarine
mar;gin	margin
mar;gin;al	marginal
mar;gue;rite	marguerite
mar;i;ach;i	mariachi
mar;i;gold	marigold
mar;i;nade	marinade
mar;i;nat;ed	marinated
mar;i;ner	mariner
mar;i;on;ette	marionette
mar;i;po;sa	mariposa
mar;i;tal	marital
mar;i;time	maritime
mar;ket	market
mar;ket;a;ble	marketable
mar;ket;er	marketer
mar;ket;ing	marketing
mar;ket;place	marketplace
mar;lin	marlin
mar;ma;lade	marmalade
mar;mot	marmot
mar;quee	marquee
mar;quis	marquis
mar;quise	marquise
mar;riage	marriage
mar;ried	married
mar;row	marrow
mar;ry	marry
mar;ry;ing	marrying
mar;seille	marseille
mar;seilles	marseilles
mar;shal	marshal
mar;shall	marshall
mar;ten	marten
mar;ti;ni	martini
mar;tial	martial
mar;tin	martin
mar;tin;gale	martingale
mar;tyr	martyr
mar;tyr;dom	martyrdom
mar;vel	marvel
mar;vel;lous	marvellous
mar;vel;ous	marvelous
